net1,sta1,lat1,lon1,net2,sta2,lat2,lon2,4hrWnd,distance_km,result
XB,CM11,3.98,13.188,XB,CM01,2.389,9.834,3894,412.2093555,1
ZF,LYDE,12.055,41.926,XW,UAYA,15.709,42.693000000000005,1254,412.6829744,1
ZF,KOBE,12.151,39.63,ZF,HYNE,9.315,42.096,3058,413.7041607,1
ZF,MAYE,12.783,39.534,ZF,MISE,9.237,40.759,7832,414.449884,2
XB,CM10,4.223,10.619000000000002,XB,CM14,4.422,14.358,3773,415.6298882,1
AF,DODT,-6.186,35.748000000000005,YQ,MBEY,-9.0,33.25,5874,415.7177996,2
XB,PM16,35.13,-3.695,XB,PM33A,31.414,-4.29,1562,415.847824,1
XB,CM04,2.979,11.959,XB,CM20,6.225,10.054,2277,416.5514688,1
8A,NEPA,-17.77,18.46,8A,HOCH,-21.49,17.852999999999998,6688,416.6943679,1
XI,WASH,8.99,40.166,XI,BAHI,11.574000000000002,37.393,3960,417.0679532,2
1C,ANR,-0.182,36.245,AF,TEBE,0.054,32.483000000000004,1540,419.5956247,1
ZP,MALE,1.07,34.167,IU,KMBO,-1.127,37.252,3410,420.6415257000001,2
ZP,MKUS,-13.604,29.379,ZP,KASM,-10.217,31.14,1221,420.9191698,1
XB,PS37,39.0,-4.956,XB,PM05,35.213,-5.337000000000001,7997,421.6412292,1
XA,SA48,-24.895,29.216,XA,SA26,-27.546,26.18,3179,422.2275316000001,2
ZF,BTIE,11.195,40.022,XW,MOKA,13.314,43.256,2046,422.7713361,1
XK,Q05ML,-13.467,36.14,XK,Z09CG,-13.306,32.221,3597,424.8531849,1
1C,KAPD,1.185,36.105,XJ,LL66,-2.612,35.484,2167,425.50288830000005,1
1C,NAUD,1.027,36.22,XJ,PR11,-2.823,36.299,2959,425.8043876,1
1C,NAUD,1.027,36.22,XJ,PR12,-2.825,36.383,1727,426.3208546,1
XB,PM36,34.889,-3.736,XB,PM35,31.046,-3.996,7876,426.8962389,1
XB,CM16,5.48,10.572,XB,CM24,6.523,14.288,1661,427.2672585,1
XB,PM30,31.863000000000003,-4.272,XB,PM03,35.51,-5.771,8899,427.70846560000007,1
YJ,SHEE,10.0,39.895,XI,DELE,8.439,36.326,858,428.5069224,1
XB,CM02,2.698,13.289,XB,CM16,5.48,10.572,2651,430.8567584,1
XA,SA34,-26.8,28.1,XA,SA56,-23.006,29.074,3905,431.6274493,2
ZV,KISA,-7.19,31.023000000000003,YQ,UKWA,-9.454,34.216,3850,431.7285692,1
ZP,MWEN,-10.058,28.702,ZP,ISOK,-10.171,32.646,1606,432.443363,1
ZP,MKUS,-13.604,29.379,AF,TEZI,-15.747,26.016,1320,432.9135395,2
XK,W11KP,-13.217,34.311,YQ,KIPE,-9.294,34.436,1485,434.16496219999993,1
ZP,MALE,1.07,34.167,ZP,FOPO,0.6629999999999999,30.282,4246,434.7617066000001,2
ZF,HYNE,9.315,42.096,ZF,GASE,11.681,38.921,2893,435.0512559,1
XK,Q01MP,-13.408,34.87,XV,MOCU,-16.86,36.83,1452,436.1893445,2
8A,MARI,-24.598000000000003,17.930999999999997,8A,BAHE,-21.352,15.44,5434,440.9517137,2
YJ,MIEE,9.242,40.758,XI,CHEF,6.1610000000000005,38.21,847,441.7036033,1
XK,W13CC,-14.548,35.181,XV,NAPU,-15.08,39.25,3520,441.9288594,2
XK,Z09CG,-13.306,32.221,YQ,ISOK,-9.509,33.494,1342,442.3883157,1
ZE,BREE,12.17,41.188,XW,MAWI,15.468,43.523,2068,443.681018,1
XB,PM13,34.672,-4.935,PM,PFVI,37.133,-8.827,10109,444.910671,1
1C,SIL,1.149,36.238,XJ,PR32,-2.875,36.181,1078,444.9989464,1
XB,PS15,37.141,-4.503,XB,PM23,33.128,-5.03,9999,447.7956788,1
XB,PM33A,31.414,-4.29,3D,MM12,30.405,-8.827,3355,447.8655778,1
XB,PM06,35.309,-5.638999999999999,XB,PM33A,31.414,-4.29,1540,449.8576306,2
1C,SIL,1.149,36.238,XJ,PR31,-2.919,36.048,1562,450.31578600000006,2
1C,NAUD,1.027,36.22,XJ,PR62,-2.983,35.374,2959,453.2900318,1
G,ATD,11.53,42.847,XW,SHIB,15.503,43.906000000000006,1463,454.2519478,1
XA,SA155,-22.879,28.34,XA,SA78,-19.467,30.772,3223,454.3938464,1
YJ,DIKE,8.062999999999999,39.557,XI,BAHI,11.574000000000002,37.393,1529,455.1300115,1
ZP,KISZ,-12.112,25.495,IU,LSZ,-15.278,28.188,2816,455.5564112,2
XB,PM29,32.084,-4.391,XB,PS01,36.08,-5.624,11781,457.6141988,2
XB,PM08,35.145,-4.708,XB,PM35,31.046,-3.996,10054,459.4337583000001,2
XK,Q04NM,-13.331,35.658,XV,SENA,-17.445,35.032,4400,460.1573144999999,2
